Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2021-06-11;1569.22;1569.22;1569.22;1569.22;9415.32
2021-07-01;1581.54;1581.74;1581.54;1581.74;3163.28
2021-07-07;1581.75;1581.75;1581.75;1581.75;7908.75
2021-07-12;1591.21;1591.21;1591.21;1591.21;11138.47
2021-07-20;1571.31;1571.31;1571.31;1571.31;9427.86
2021-08-11;1618.28;1619.25;1618.28;1619.25;4856.01
2021-08-18;1618.87;1620.0;1618.87;1620.0;4857.94
2021-08-31;1655.6;1655.6;1655.6;1655.6;4966.8
2021-09-01;1653.86;1653.86;1653.86;1653.86;31423.34
2021-09-09;1654.03;1654.03;1654.03;1654.03;1654.03
2021-09-10;1644.66;1644.66;1644.66;1644.66;4933.98
2021-09-16;1642.0;1642.0;1642.0;1642.0;8210.0
2021-09-30;1605.57;1605.57;1605.57;1605.57;4816.71
2021-10-08;1615.06;1616.87;1615.06;1616.87;3231.93
2021-10-25;1699.0;1699.0;1699.0;1699.0;1699.0
2021-10-26;1712.0;1712.0;1712.0;1712.0;1712.0
2021-10-27;1720.43;1720.43;1720.43;1720.43;20645.16
2021-11-04;1764.47;1770.19;1764.47;1770.19;5302.95
2021-11-09;1767.52;1767.52;1767.52;1767.52;1767.52
2021-11-10;1760.63;1760.63;1760.63;1760.63;1760.63
2021-11-16;1763.43;1765.0;1763.43;1765.0;8822.06
2021-11-22;1772.52;1772.52;1772.52;1772.52;1772.52
2021-11-26;1738.68;1738.68;1729.72;1729.72;17377.84
2021-12-03;1738.14;1738.14;1738.14;1738.14;1738.14
2021-12-06;1730.14;1730.14;1730.14;1730.14;1730.14
2021-12-09;1761.0;1761.0;1761.0;1761.0;1761.0
2021-12-28;1799.0;1799.0;1799.0;1799.0;12593.0
2022-01-04;1803.0;1803.0;1803.0;1803.0;1803.0
2022-03-09;1585.19;1588.0;1585.19;1588.0;4761.19
2022-03-22;1669.53;1670.52;1668.19;1668.19;88533.26
2022-04-20;1663.0;1663.0;1663.0;1663.0;11641.0
2022-04-22;1618.31;1618.31;1618.31;1618.31;1618.31
2022-04-25;1579.0;1579.0;1579.0;1579.0;1579.0
2022-04-28;1576.69;1576.7;1576.69;1576.7;3153.39
2022-05-17;1489.44;1501.16;1489.44;1501.16;2990.6
2022-05-25;1464.33;1464.83;1464.33;1464.83;7323.16
2022-05-31;1516.6;1516.6;1516.6;1516.6;1516.6
2022-06-28;1416.1;1416.1;1416.1;1416.1;4248.3
2022-08-09;1496.83;1496.83;1496.83;1496.83;1496.83
2022-08-11;1536.0;1536.0;1536.0;1536.0;1536.0
2022-09-05;1421.24;1423.02;1421.24;1423.02;5688.53
2022-09-06;1428.46;1428.46;1428.46;1428.46;1428.46
2022-09-08;1445.0;1445.0;1445.0;1445.0;30345.0
2022-09-13;1493.45;1494.67;1493.45;1494.67;5976.25
2022-09-22;1366.97;1368.81;1366.97;1368.81;5471.57
